[09:47:00.089]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.179]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.279]0 |  797 | 1 |    0    0 | 1 |  27  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.380]0 |  797 | 1 |    0    0 | 1 |  26  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.480]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.580]0 |  798 | 1 |    1    0 | 1 |  27  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.680]0 |  797 | 1 |   -1    0 | 1 |  26  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.780]0 |  797 | 1 |    0    0 | 1 |  25  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.879]0 |  797 | 1 |    0    0 | 1 |  25  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:00.979]0 |  797 | 1 |    0    0 | 1 |  27  0 | 0  0 |  9 :46 :34 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:01.080]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :35 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:01.189]0 |  797 | 1 |    0    0 | 1 |  27  0 | 0  0 |  9 :46 :35 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:01.280]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :35 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
