[09:59:57.571]0 | 1038 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :39 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:57.670]0 | 1038 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :39 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:57.770]0 | 1038 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :39 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:57.867]0 | 1038 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:57.970]0 | 1038 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.071]0 | 1037 | 1 |   -1    0 | 0 |  26  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.170]0 | 1038 | 1 |    1    0 | 0 |  29  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.271]0 | 1037 | 1 |   -1    0 | 0 |  28  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.370]0 | 1037 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.390]0 | 1037 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.471]0 | 1037 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.570]0 | 1037 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.670]0 | 1037 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :40 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.770]0 | 1037 | 1 |    0    0 | 0 |  30  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.870]0 | 1037 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:58.971]0 | 1036 | 1 |   -1    0 | 0 |  29  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.070]0 | 1036 | 1 |    0    0 | 0 |  30  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.170]0 | 1036 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.271]0 | 1036 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.371]0 | 1036 | 1 |    0    0 | 0 |  30  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.391]0 | 1036 | 1 |    0    0 | 0 |  30  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.470]0 | 1036 | 1 |    0    0 | 0 |  30  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
0 | 1036 | 1 |    0    0 | 0 |  33  0 | 0  0 | 10 : 2 :41 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.671]0 | 1036 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.770]0 | 1037 | 1 |    1    0 | 0 |  27  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.870]0 | 1036 | 1 |   -1    0 | 0 |  27  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[09:59:59.969]0 | 1036 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.070]0 | 1036 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.171]0 | 1036 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.270]0 | 1036 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.371]0 | 1036 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.392]0 | 1036 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.470]0 | 1036 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :42 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.570]0 | 1036 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.669]0 | 1036 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.770]0 | 1036 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.870]0 | 1035 | 1 |   -1    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.970]0 | 1035 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
