[09:39:00.666]0 |  887 | 1 |    0    0 | 0 |  26  0 | 0  0 |  9 :38 :34 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:00.766]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :34 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:00.876]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:00.966]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.066]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.166]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.266]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.366]0 |  887 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.466]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.574]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.666]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :35 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.766]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.866]0 |  887 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:01.966]0 |  887 | 1 |    0    0 | 0 |  26  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.067]0 |  887 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.166]0 |  887 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.186]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.267]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.366]0 |  887 | 1 |    0    0 | 0 |  31  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.467]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.566]0 |  887 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :36 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.666]0 |  887 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.766]0 |  887 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.876]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:02.966]0 |  887 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.066]0 |  886 | 1 |   -1    0 | 0 |  28  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.166]0 |  886 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.197]0 |  886 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.266]0 |  886 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.366]0 |  886 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.467]0 |  886 | 1 |    0    0 | 0 |  26  0 | 0  0 |  9 :38 :37 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.577]0 |  886 | 1 |    0    0 | 0 |  25  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.666]0 |  886 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.766]0 |  886 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.866]0 |  886 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:03.966]0 |  886 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.066]0 |  886 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.167]0 |  886 | 1 |    0    0 | 0 |  31  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.186]0 |  886 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.267]0 |  885 | 1 |   -1    0 | 0 |  39  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.366]0 |  885 | 1 |    0    0 | 0 |  32  0 | 0  0 |  9 :38 :38 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.466]0 |  885 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.566]0 |  886 | 1 |    1    0 | 0 |  31  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.667]0 |  886 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.766]0 |  886 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.875]0 |  886 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:04.974]0 |  886 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:05.066]0 |  886 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:05.166]0 |  886 | 1 |    0    0 | 0 |  26  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:05.197]0 |  886 | 1 |    0    0 | 0 |  26  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:05.266]0 |  886 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :39 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:05.366]0 |  886 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:05.467]0 |  886 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :40 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
