[10:07:06.519]B!&™ä‚Å10   8  49 # 0  0   11   10 
[10:07:06.712]0 |  905 | 1 |    0    0 | 1 |  25  0 | 0  0 | 10 : 9 :48 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
0 |  905 | 1 |    0    0 | 1 |  25  0 | 0  0 | 10 : 9 :48 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:06.785]0 |  905 | 1 |    0    0 | 1 |  25  0 | 0  0 | 10 : 9 :48 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:06.886]0 |  906 | 1 |    1    0 | 1 |  25  0 | 0  0 | 10 : 9 :48 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:06.985]0 |  906 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :48 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.083]0 |  905 | 1 |   -1    0 | 1 |  28  0 | 0  0 | 10 : 9 :48 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.183]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :48 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.285]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.383]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.483]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.583]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.683]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.782]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.883]0 |  905 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:07.985]0 |  905 | 1 |    0    0 | 1 |  26  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.094]0 |  905 | 1 |    0    0 | 1 |  26  0 | 0  0 | 10 : 9 :49 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.184]0 |  906 | 1 |    1    0 | 1 |  26  0 | 0  0 | 10 : 9 :50 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.283]0 |  906 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :50 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.386]0 |  906 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :50 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.483]0 |  906 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :50 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.585]0 |  905 | 1 |   -1    0 | 1 |  29  0 | 0  0 | 10 : 9 :50 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.684]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :50 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.784]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :50 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.883]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :50 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:08.983]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :51 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:09.083]0 |  905 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :51 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
